Under 20,1203,6958,1,20-Nov
Under 20,1584,35577,2,21-Feb
20-29,1662,14419,4,20-Nov
20-29,2406,56567,8,21-Feb
30-39,1248,10784,7,20-Nov
30-39,2128,42528,18,21-Feb
40-49,1098,9544,27,20-Nov
40-49,1778,38418,54,21-Feb
50-59,1181,10147,105,20-Nov
50-59,1859,39707,206,21-Feb
60-69,720,6412,288,20-Nov
60-69,1311,24812,567,21-Feb
70-79,380,3255,557,20-Nov
70-79,662,12439,1235,21-Feb
80-89,373,3071,1146,20-Nov
80-89,512,9310,2420,21-Feb
90-99,228,1809,1017,20-Nov
90-99,248,5054,2121,21-Feb
Unknown,0,0,0,20-Nov
Unknown,8,47,1,21-Feb
